month,day,height,numengs,time_of_day,season,phase_of_flt,damage,effect,sky,min_bird_struck,max_bird_struck,size,struck_combined,damage_combined,eng_fail
01,18,2000,2,night,winter,approach,N,none,somecloud,1,1,unknown,TRUE,FALSE,0
01,09,0,2,day,winter,landingroll,N,none,somecloud,1,1,small,TRUE,FALSE,0
01,10,1000,2,day,winter,climb,M?,none,overcast,1,1,medium,TRUE,TRUE,0
01,11,800,2,night,winter,approach,N,none,somecloud,1,1,medium,TRUE,FALSE,0
01,22,0,2,night,winter,takeoffrun,N,precautionarylanding,nocloud,1,1,unknown,TRUE,FALSE,0
01,01,0,2,day,winter,takeoffrun,N,none,unknown,1,1,large,TRUE,FALSE,0
01,20,100,2,day,winter,climb,M?,precautionarylanding,overcast,1,1,medium,TRUE,TRUE,0
01,14,0,2,day,winter,landingroll,N,none,somecloud,1,1,small,TRUE,FALSE,0
01,04,3000,2,night,winter,approach,N,none,nocloud,1,1,large,TRUE,FALSE,0
01,23,0,2,day,winter,takeoffrun,M?,other,overcast,1,1,medium,TRUE,TRUE,0
01,16,0,1,day,winter,landingroll,N,none,unknown,2,10,small,TRUE,FALSE,0
01,24,4000,2,day,winter,climb,N,none,somecloud,1,1,medium,TRUE,FALSE,0
01,21,200,2,dusk,winter,approach,M?,none,nocloud,1,1,medium,TRUE,TRUE,0
01,25,300,2,dusk,winter,approach,M?,precautionarylanding,nocloud,2,10,medium,TRUE,TRUE,0
